id	japanese	translation
TROOP109_p7_9	クッ…！　こんな醜態を晒すくらいなら…	Hmph...! Rather than show such a disgrace...
TROOP109_p8_10	ぐああ…！！	Gwaah...!!
TROOP109_p8_19	　　　　　　ピピンは自らの体に斬りつけた！	Pipin slashes his own body!
TROOP109_p8_2	…ううっ…！！	...Ugh...!!
TROOP109_p8_25	自分の身体を切り刻むことで…	By cutting his own body...
TROOP109_p8_26	術を…　術に操られた自分を封じようと	he's trying to seal away the self controlled
TROOP109_p8_27	しているのか…！	by the spell...!
TROOP109_p8_5	操りの術は解けていない…	The control spell hasn't lifted...
TROOP109_p8_6	それなのに…　自らの精神力で…	And yet... with sheer willpower...
TROOP109_p8_7	術と戦っているのか…　ピピン…！	he's fighting the spell... Pipin...!
TROOP109_p9_18	　　　　　　ピピンは自らの体に斬りつけた！	Pipin slashes his own body!
TROOP109_p9_2	…はぁ　…はぁ	...Hah... hah
TROOP109_p9_24	ピピン…　なんという高潔な男…！！	Pipin... what a noble man...!!
TROOP109_p9_27	ピピンやめろ！　もういい！！	Pipin, stop! Enough!!
TROOP109_p9_28	お前の身体は　もう十分に傷付いている！！	Your body is already wounded enough!!
TROOP109_p9_29	それ以上の自傷は必要ない！！	No more self-harm!!
TROOP109_p9_32	……うるさいッ！！	.........Shut up!!
TROOP109_p9_5	ピピン！　死んでしまうぞ…　ピピン！	Pipin! You'll die... Pipin!
TROOP109_p9_8	そろそろ…　お前らでも…	By now... even you lot...
TROOP109_p9_9	俺にトドメを刺せるだろう…	should be able to finish me off...
TROOP110_p0_10	あれは一体なんだ…　どういう構造なんだ…	What on earth is that... how is it built...
TROOP110_p0_13	なんにしてもパッと見で強そうだ…	Either way, it looks strong at a glance...
TROOP110_p0_14	サポート系の魔法をしっかり使った方がいいな	Better to use support magic properly.
TROOP110_p0_2	気持ちわりいっ！！　なんだよこれ……っ！？	Gross!! What IS this...!?
TROOP110_p0_5	何となくカメのようにも見えるが…	It sort of looks like a turtle, but...
TROOP110_p0_6	にしたってデカ過ぎんだろー！！！！	But even so, this thing's way too big!!!!
TROOP110_p0_9	そんであの甲羅から凄い勢いで出してる煙…？	And that smoke pouring from its shell...?
TROOP110_p1_2	しっかしなんちゅーバケモンだよ…	Man, what a monster...
TROOP110_p1_3	闇のエレメントが復活すると、こんなのが	If the Dark Element revives, this world
TROOP110_p1_4	ウヨウヨする世界になっちまうのかーー！？	would be swarming with things like this—!?
TROOP110_p1_7	そんな世の中になったら、とてもじゃないけど、	If the world became like that, no matter how many
TROOP110_p1_8	あたしたちが何人いても追いつかないだろうな	of us there were, we couldn't keep up.
TROOP111_p0_10	まさに異形のモノって感じだ…！	It truly feels like something from beyond...!
TROOP111_p0_2	うおおおおおお！	Whoooaa!
TROOP111_p0_3	近くで見ると、完全に…　イヌ…か？	Up close... it's completely... a dog...?
TROOP111_p0_6	イヌ？はイヌ？でも、普通のイヌとは違う…	A dog? It's a dog? But not like any ordinary dog...
TROOP111_p0_7	禍々しい殺気を周囲にばらまいてやがる…	It's radiating a sinister bloodlust...
TROOP111_p1_2	でけえぜーーーー！！	It's huge—!!
TROOP111_p1_3	でもこんなのが相手でも負ける気がしねえ…　	But even against this, I don't feel like losing...
TROOP111_p1_6	あたしらも紋章の力ですっかり異形のものに	With the crest's power, I feel like we've
TROOP111_p1_7	なっちまった気がするな…	become just as monstrous ourselves...
TROOP135_p0_10	さあああああ継承者たちよおおおおおお！！！	Come, inheritors—!!!
TROOP135_p0_13	私が長年…　研究！　開発！　発見！！	The many great magics I've researched! Developed!
TROOP135_p0_14	…してきた数々の大魔法を………	and discovered over the years......
TROOP135_p0_17	惜しみなくすべて披露してやろう！！！！！	I shall display them all without restraint!!!!!
TROOP135_p0_2	四天王最強の…　大魔道士…　だったよな？	The strongest of the Four Generals... the Grand Mage... right?
TROOP135_p0_3	ってことは当然、めちゃ強い魔法を使ってくる	Which means, of course, he uses insanely powerful
TROOP135_p0_6	闇の力や魔法に耐性のあるあたし達でも、	Even with our resistance to Dark power and magic,
TROOP135_p0_7	どのくらい耐えられるのか…　わからない。	I don't know how long we can withstand it.
TROOP135_p1_12	これが四天王最強の魔法か…	So this is the strongest of the Generals' magic...
TROOP135_p1_13	なんつーか…　これといって対策がねえ！！！	Honestly... we've got no counter for it!!!
TROOP135_p1_16	だーかーらー言ってるだろう！！？？	That's what I keep telling you!!??
TROOP135_p1_17	私は本来ラスボスポジション！！	I'm supposed to be the final boss!!
TROOP135_p1_2	あー　気持ちいいいいいいいいいいいい！！！	Ahh, it feels soooo good!!!
TROOP135_p1_20	お手軽な攻略などなあああああああいいい！！	There'll be no cheap tricks—!!
TROOP135_p1_21	真っ向勝負のガチバトルでしか私には勝てん！！	You can only beat me in a straight-up, all-out fight!!
TROOP135_p1_5	ちょっといままで見てきた魔法とは違う…	This magic's different from what we've seen...
TROOP135_p1_6	きっと、まだ他の魔法も残しているだろうな…	He's surely holding back other spells...
TROOP135_p1_9	もちのローーーーーーーーーーーーン！！！！	Of course~!!!!
TROOP135_p2_10	闇いんふるなんとかが広がって…	The Dark Flu-whatever spreads...
TROOP135_p2_11	みんなが死んでしまう…！！	and everyone dies...!!
TROOP135_p2_14	闇インフルエンザについては…	About the Dark Flu...
TROOP135_p2_15	正直スマンかったと思ってる。	Honestly, I feel bad about that one.
TROOP135_p2_18	は…？	Huh...?
TROOP135_p2_2	へっ…　結構戦える気がしてきたぜ…	Heh... I'm starting to feel like we can win...
TROOP135_p2_21	気に入らないものは全てを皆殺しにする…	Slaughtering everything we dislike...
TROOP135_p2_22	それは、私たちが人間たちからされてきたこと	that is exactly what was done to us
TROOP135_p2_23	とまったく同じだ…	by humans...
TROOP135_p2_26	だが…　もうここが限界…　ここが最後…！！	But... this is our limit... our last stand...!!
TROOP135_p2_27	ここで大きな力を取り戻さねば…	If we don't reclaim great power here...
TROOP135_p2_28	我々が皆殺しにされてしまう…！！	we'll be the ones slaughtered...!!
TROOP135_p2_3	なんとかなるかもな！	We might just make it!
TROOP135_p2_31	何を言ってんだ…　こいつは…	What is he talking about...
TROOP135_p2_34	最後にキミたちのような楽しい人間に会えて…	At the end, to meet such delightful humans as you...
TROOP135_p2_35	うれしかったよおおおおおおおおおおお！！！	it made me so happy—!!!
TROOP135_p2_6	ダメだ！　時間がかかり過ぎている…！	No good! This is taking too long...!
TROOP135_p2_7	こうしている間にも…魔王とやらが誕生して…	Even as we speak... the Demon King is being born...
TROOP135_p3_10	なんもいえねええええええ！！！！！	I've got nothing to say—!!!!!
TROOP135_p3_13	え…、いや、言いまくってるだろう……？	Eh... no, you're saying plenty......?
TROOP135_p3_16	さすがにホノオも突っ込んだ…！！	Even Hono had to point that out...!!
TROOP135_p3_2	全能感…ッ！！	Omnipotence...!!
TROOP135_p3_3	己の持つすべての力…感情を…！！！	All the power... all the emotion within...!!!
TROOP135_p3_6	ありのまま垂れ流しに解き放つ解放感ッ！！	The sheer liberation of unleashing it all as it is!!
TROOP135_p3_9	きもちいいいいいいいいいいいい！！！！	It feels soooo good!!!!
TROOP135_p4_12	やるじゃん　キミたちーーーーーーー！！！！	Not bad, you lot—!!!!
TROOP135_p4_15	私もちゃんと全ての力を使い切れるように…	So that I too can use up all my power...
TROOP135_p4_16	頑張るよおおおおおおおお…ッ！！	I'll do my best—!!
TROOP135_p4_17	かきゅごしりょよおおおおお！！！？？	Huh-wha-wha—!!!???
TROOP135_p4_2	あー　これちょっとやばい…	Ah, this is getting a bit dangerous...
TROOP135_p4_20	くっ！！　すげえ気合だ！！	Ugh!! The spirit behind this is insane!!
TROOP135_p4_23	噛みまくってんのに一切後悔していない！！	He's stuttering up a storm and feels no shame!!
TROOP135_p4_5	えーいまちょうどですねー	Um, right about now~
TROOP135_p4_6	私のＨＰが半分になりました！！！！！！！	my HP has reached half!!!!!!!
TROOP135_p4_9	えー！！？？　なんだそれ、親切だな！！！？	Huh!!?? What is that, how thoughtful!!!?
TROOP135_p5_11	私にもっとエレメントパワーを………	Give me more Elemental Power......
TROOP135_p5_14	もっと力おおおおおおおおおおおッ！！！！！	MORE POWER—!!!!!
TROOP135_p5_2	あっ　走馬灯………　お花畑見えてきた…	Oh... my life flashing before my eyes...... I can see the flower fields...
TROOP135_p5_21	　　　　　大魔道士ピケピケの魔力が暴走した！！	Grand Mage Pikepike's magic runs wild!!
TROOP135_p5_24	　　　　　ピケピケから猛烈な闇の波動を感じる！！	A violent wave of Dark energy emanates from Pikepike!!
TROOP135_p5_27	うおっ！？　マジかこいつ…！！	Whoa!? Is he serious...!!
TROOP135_p5_30	くっ…！！　気圧されるな！！	Ugh...!! Don't be cowed!!
TROOP135_p5_31	いまのあたしたちなら、やれるはずだ！！	With us as we are now, we can do this!!
TROOP135_p5_5	おい…大丈夫か！？	Hey... are you okay!?
TROOP135_p5_8	敵を心配なくていいんだよ！！	You don't need to worry about the enemy!!
TROOP136_p0_10	…へえ。	...Oh.
TROOP136_p0_2	…ほとんど魔法での攻撃なしの殴り合いなら、	...If it's a brawl with barely any magic,
TROOP136_p0_3	テッペキを二回使えば有利に戦えるはず。	using Iron Wall twice should give us the edge.
TROOP136_p0_6	自分自身を強化する魔法を持っているのが、	If you thought only you had magic that
TROOP136_p0_7	あなただけだと思ったら間違いよ？	strengthens yourself, you're mistaken.
TROOP136_p1_11	そんなスキをあたしは晒さない！	I won't expose such an opening!
TROOP136_p1_2	氷の魔法はあたしに利かない！	Ice magic doesn't work on me!
TROOP136_p1_3	無駄なことはやめるんだ！	Cease your pointless efforts!
TROOP136_p1_6	どうかしら？	Is that so?
TROOP136_p1_7	一瞬のスキを突いて、至近距離から放てば、	If I seize a moment's opening and unleash it at
TROOP136_p1_8	あなたでも無効化できないと思うけど…。	point-blank range, even you can't nullify it...
TROOP136_p2_10	あなたたちのご先祖様じゃないの？	Wouldn't it be your ancestors?
TROOP136_p2_13	…知らない！	...I don't know!
TROOP136_p2_2	あなたのつばめ返しって剣術…すごいわね。	That Swallow Reversal of yours... it's impressive.
TROOP136_p2_3	まるでサムライの使う剣術だわ。	Just like the swordsmanship of the samurai.
TROOP136_p2_6	…サムライ？　なんだそれは？	...Samurai? What's that?
TROOP136_p2_9	そういうひとたちがいたのよ…	There used to be people like that...
TROOP136_p3_11	自信があるのは結構だけれど、	Confidence is all well and good, but
TROOP136_p3_12	その余裕が、突然あなたの足をすくうのよ。	that composure will suddenly trip you up.
TROOP136_p3_15	ご忠告感謝するよ、ミケーネ！！	Thanks for the advice, Mycenae!!
TROOP136_p3_2	油断しないことね…	Don't let your guard down...
TROOP136_p3_3	あたしは絶対に勝つ気でいるわよ。	I intend to win, no matter what.
TROOP136_p3_6	大したもんだ…	Impressive...
TROOP136_p3_7	あたしの剣をこんなに受けて立っている相手は	You're the first to stand against my blade
TROOP136_p3_8	あんたで初めてだよ。	this well.
TROOP136_p4_2	うっ…　あと少し…　あと少しで…！！	Ugh... just a bit more... a bit more...!!
TROOP136_p4_5	ああ、あと少しだ…　	Ah, just a little more...
TROOP136_p4_6	あと少しで…　あたしの勝ちだあああああ！！	Just a little more... and I win—!!
TROOP137_p0_10	オレの方はバンバン使ってくからよー！！	I'll be blasting mine all over the place!!
TROOP137_p0_2	アンタって前のバトルまではよー…	Until the last battle, you...
TROOP137_p0_3	魔法とか、全然使わなかったよなー？	never used any magic at all, right?
TROOP137_p0_6	本当は使えたりするんだろー？	You actually can use it, can't you?
TROOP137_p0_7	いいんだぜ、使ってくれて。	It's fine, use it.
TROOP137_p1_11	それともオレが強くなり過ぎて…	Or have I grown so strong that...
TROOP137_p1_12	本気のアンタの圧倒的パワーすら	even your overwhelming full-power might
TROOP137_p1_13	怖くなくなっちまったってことかー？	no longer frightens me?
TROOP137_p1_2	…なんだよ？	...What is it?
TROOP137_p1_3	確かにデカくなって…	Sure, you've grown bigger...
TROOP137_p1_4	パワーは増してるみてーだけどよー	and your power seems greater, but—
TROOP137_p1_7	変わり映えしねーぜ？	it's nothing new, is it?
TROOP137_p1_8	本当にこんなモンか、ナウー！？	Is this really all you've got, Nau!?
TROOP137_p2_10	どっちなんだよ、本当は魔法があるのかよ！！	Which is it—do you have magic or not!!
TROOP137_p2_11	少しは喋ってくれーーーーー！！	Say something, will you!!
TROOP137_p2_2	だーかーらー…	That's... why...
TROOP137_p2_3	前と同じパターンの攻撃ばっかじゃ、	If you keep using the same attack patterns,
TROOP137_p2_4	いくらパワーがあっても通用しねーぜ！！	all that power won't do you any good!!
TROOP137_p3_11	う…お………　　なんだって…？	Ugh... wh-what...?
TROOP137_p3_14	…光の柱に　魔力を注ぎ込んだ　我らには…	...We who poured our magic into the Pillar of Light...
TROOP137_p3_17	…これで　本気なのだ　ホノオ…	...with this, we are serious, Hono...
TROOP137_p3_2	こんなモンか…　ナウー…	Is this all... Nau...
TROOP137_p3_20	…くっ！　そうかよ…	...Hmph! Fine then...
TROOP137_p3_23	それならそれでしかたねえ…	If that's how it is, so be it...
TROOP137_p3_24	でもこっちは本気で行かせてもらうぜ…	But I'll be going all out too...
TROOP137_p3_27	急いでるんだ…　使命があるんだオレには！！	I'm in a hurry... I have a mission!!
TROOP137_p3_30	………コクリ	.........(nod)
TROOP137_p3_5	アンタの力が、こんなモンなワケがねえだろ！	There's no way that's all your power!
TROOP137_p3_8	…我は本気だ　ホノオよ	...I am serious, Hono.
TROOP137_p4_14	　　　　　　ナウーは不思議な構えを取った！	Nau takes a strange stance!
TROOP137_p4_17	　　　　　　ナウーの反撃確率がアップした！	Nau's counter rate increases!
TROOP137_p4_18	　　　　　　ナウーのぼうぎょ力がアップした！	Nau's defense increases!
TROOP137_p4_2	…今のは効いたはず…！！	...That should have landed...!!
TROOP137_p4_21	…なんだあ？　　へへ…　とにかく…	...What the—? Heh... anyway...
TROOP137_p4_22	やっと新しい技を見せてくれるみてえだなー	Looks like he's finally showing a new move~
TROOP137_p4_25	…だが、アンタはもう瀕死のはずだ…	...But you should be at death's door...
TROOP137_p4_26	こっちの攻撃の手は緩めねえぜーーー！！！！	We won't be letting up—!!!!
